Transport_ID,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
T204,19688,557,11529,38 Grand Junction Rd,2014-05-11 00:00:00,1
T205,42149,N3,17879,29 Morphett Rd,2013-08-11 00:00:00,4
T206,27886,241,14731,26 Morphett Rd,2013-11-10 00:00:00,1
T207,8898,506,11409,44 Wright Rd,2013-11-03 00:00:00,2
T208,10755,144,13384,V1 Dequetteville Tce,2014-06-22 00:00:00,5
T209,47598,281,12344,20 Fourth Av,2013-10-06 00:00:00,5
T210,27336,222,12409,15 Main North Rd,2013-11-24 00:00:00,2
T211,10160,117,13364,W3 Currie St,2014-04-20 00:00:00,1
T212,44753,117,11767,36B Bartley Tce,2013-09-08 00:00:00,1
T213,36354,411,10439,44B Burton Rd,2014-04-13 00:00:00,1
T214,53224,411,10526,Zone B Salisbury Interchange,2014-04-27 00:00:00,2
T215,11543,245,14446,22 Morphett Rd,2014-05-11 00:00:00,1
T216,50876,J1,14381,21 Gordon St,2013-12-22 00:00:00,1
T217,16196,G40,17172,62A The Grove Wy,2014-03-02 00:00:00,8
T218,27423,222,17380,33D Mawson Lakes Bvd,2013-06-30 00:00:00,1
T219,52697,225,10789,44B Northbri Av,2013-11-17 00:00:00,1
T220,10671,141,13525,18 Hallett Rd,2014-02-02 00:00:00,1
T221,27434,224,12047,20 Main North Rd,2014-03-16 00:00:00,2
T222,50150,H20,12643,22B St Bernards Rd,2013-11-24 00:00:00,1
T223,10331,H20,14000,10  Marion Rd,2014-04-13 00:00:00,1
T224,27149,203F,11261,46 Fairfax Rd,2013-11-17 00:00:00,1
T225,27526,224F,10811,35 Salisbury Hwy,2014-01-05 00:00:00,2
T226,16266,M44,14294,14 Marion Rd,2014-02-09 00:00:00,1
T227,5895,300,12350,222 Woodville Rd,2014-04-06 00:00:00,1
T228,62848,749,17675,117 Rowley Rd,2014-01-19 00:00:00,1
T229,13626,265,15176,37 Seacombe Rd,2014-02-16 00:00:00,3
